Word,Lower,Level
Abend,abend,A1
alles,alles,A1
antworten,antworten,A1
auch,auch,A1
auf,auf,A1
aus,aus,A1
Aussage,aussage,A1
bisschen,bisschen,A1
bitte,bitte,A1
danke,danke,A1
dann,dann,A1
das,das,A1
der,der,A1
Deutsch,deutsch,A1
Dialog,dialog,A1
die,die,A1
dir,dir,A1
du,du,A1
ein,ein,A1
eine,eine,A1
Entschuldigung,entschuldigung,A1
er,er,A1
es,es,A1
Form,form,A1
Frage,frage,A1
fragen,fragen,A1
Frau,frau,A1
ganz,ganz,A1
gehen,gehen,A1
Grammatik,grammatik,A1
gut,gut,A1
hallo,hallo,A1
heißen,heißen,A1
Herr,herr,A1
hören,hören,A1
ich,ich,A1
Ihnen,ihnen,A1
ihr,ihr,A1
im,im,A1
ja,ja,A1
klar,klar,A1
kommen,kommen,A1
Kurs,kurs,A1
Kursteilnehmer,kursteilnehmer,A1
Kursteilnehmerin,kursteilnehmerin,A1
Land,land,A1
lesen,lesen,A1
Mann,mann,A1
mein,mein,A1
meine,meine,A1
mit,mit,A1
morgen,morgen,A1
Nacht,nacht,A1
Name,name,A1
nein,nein,A1
neu,neu,A1
nicht,nicht,A1
oder,oder,A1
Person,person,A1
richtig,richtig,A1
Satz,satz,A1
schreiben,schreiben,A1
sehr,sehr,A1
sein,sein,A1
sie,sie,A1
Sie,sie,A1
so,so,A1
Sprache,sprache,A1
sprechen,sprechen,A1
supergut,supergut,A1
Tag,tag,A1
Tschüss,tschüss,A1
und,und,A1
was,was,A1
welche,welche,A1
wer,wer,A1
Wiedersehen,wiedersehen,A1
wie,wie,A1
wissen,wissen,A1
wo,wo,A1
woher,woher,A1
Wort,wort,A1
aber,aber,A1
Adresse,adresse,A1
alt,alt,A1
anmelden,anmelden,A1
Anmeldung,anmeldung,A1
arbeiten,arbeiten,A1
Bild,bild,A1
Bruder,bruder,A1
buchstabieren,buchstabieren,A1
dein,dein,A1
deine,deine,A1
einmal,einmal,A1
Eltern,eltern,A1
falsch,falsch,A1
Familie,familie,A1
Familienname,familienname,A1
Familienstand,familienstand,A1
Formular,formular,A1
geschieden,geschieden,A1
Geschwister,geschwister,A1
haben,haben,A1
Handynummer,handynummer,A1
Hausnummer,hausnummer,A1
Heimatland,heimatland,A1
hier,hier,A1
Ihr,ihr,A1
Ihre,ihre,A1
in,in,A1
Information,information,A1
Jahr,jahr,A1
jetzt,jetzt,A1
kein,kein,A1
keine,keine,A1
Kind,kind,A1
Kindergarten,kindergarten,A1
Kontakt,kontakt,A1
leben,leben,A1
ledig,ledig,A1
möchten,möchten,A1
Mutter,mutter,A1
nach,nach,A1
Nachname,nachname,A1
noch,noch,A1
Postleitzahl,postleitzahl,A1
Schwester,schwester,A1
Schwägerin,schwägerin,A1
Schwiegertochter,schwiegertochter,A1
Schwiegervater,schwiegervater,A1
Sohn,sohn,A1
Straße,straße,A1
Telefonnummer,telefonnummer,A1
Tochter,tochter,A1
über,über,A1
Vater,vater,A1
vergleichen,vergleichen,A1
verheiratet,verheiratet,A1
verwitwet,verwitwet,A1
viel,viel,A1
viele,viele,A1
Vorname,vorname,A1
vorstellen,vorstellen,A1
welcher,welcher,A1
welche,welche,A1
welches,welches,A1
willkommen,willkommen,A1
wir,wir,A1
wohnen,wohnen,A1
Wohnort,wohnort,A1
Zahl,zahl,A1
zu,zu,A1
an,an,A1
andere,andere,A1
benutzen,benutzen,A1
Blatt,blatt,A1
Bleistift,bleistift,A1
Buch,buch,A1
doch,doch,A1
Donnerstag,donnerstag,A1
endlich,endlich,A1
erklären,erklären,A1
erzählen,erzählen,A1
Feiertag,feiertag,A1
Fenster,fenster,A1
Foto,foto,A1
Freitag,freitag,A1
Freund,freund,A1
für,für,A1
genau,genau,A1
gestern,gestern,A1
groß,groß,A1
Gruß,gruß,A1
Hausaufgabe,hausaufgabe,A1
Heft,heft,A1
