Word,Lower,Level
Abfall,abfall,B1
Abflug,abflug,B1
Absage,absage,B1
aktiv,aktiv,B1
Alkohol,alkohol,B1
angenehm,angenehm,B1
annulliert,annulliert,B1
Anzeigetafel,anzeigetafel,B1
Aufruf,aufruf,B1
Ausgang,ausgang,B1
Ausstattung,ausstattung,B1
Behälter,behälter,B1
betreten,betreten,B1
Bewohner,bewohner,B1
Bewohnerin,bewohnerin,B1
Bordkarte,bordkarte,B1
Camperin,camperin,B1
Camper,camper,B1
Campingplatz,campingplatz,B1
Container,container,B1
Dienstreise,dienstreise,B1
Doppelbett,doppelbett,B1
Doppelzimmer,doppelzimmer,B1
einchecken,einchecken,B1
Einsteigezeit,einsteigezeit,B1
Einzelzimmer,einzelzimmer,B1
erleben,erleben,B1
Flug,flug,B1
Flugbegleiterin,flugbegleiterin,B1
Flugbegleiter,flugbegleiter,B1
Fluggast,fluggast,B1
Fluggesellschaft,fluggesellschaft,B1
führen,führen,B1
füttern,füttern,B1
Gate,gate,B1
Gepäck,gepäck,B1
Gepäckausgabe,gepäckausgabe,B1
Gepäckband,gepäckband,B1
gestattet,gestattet,B1
Halbpension,halbpension,B1
Handgepäck,handgepäck,B1
historisch,historisch,B1
Hostel,hostel,B1
hygienisch,hygienisch,B1
Inlineskaten,inlineskaten,B1
Jugendherberge,jugendherberge,B1
Katalog,katalog,B1
klettern,klettern,B1
komfortabel,komfortabel,B1
Lage,lage,B1
Lagerfeuer,lagerfeuer,B1
landen,landen,B1
Lärm,lärm,B1
Lautsprecherdurchsage,lautsprecherdurchsage,B1
lebhaft,lebhaft,B1
Leine,leine,B1
Leuchtturm,leuchtturm,B1
Meerblick,meerblick,B1
mitten,mitten,B1
Nebel,nebel,B1
neblig,neblig,B1
Paradies,paradies,B1
Passagier,passagier,B1
Passagierin,passagierin,B1
Passkontrolle,passkontrolle,B1
Pilotenstreik,pilotenstreik,B1
Pool,pool,B1
rechtzeitig,rechtzeitig,B1
Reisebüro,reisebüro,B1
Reiseplan,reiseplan,B1
Reiseplanung,reiseplanung,B1
reiten,reiten,B1
Ruhezeit,ruhezeit,B1
sauber,sauber,B1
Sauberkeit,sauberkeit,B1
Schalter,schalter,B1
Schlange,schlange,B1
Sonnenschirm,sonnenschirm,B1
Sonnenterrasse,sonnenterrasse,B1
Sonnenuntergang,sonnenuntergang,B1
Stern,stern,B1
stören,stören,B1
Streichholz,streichholz,B1
streiken,streiken,B1
Taschenlampe,taschenlampe,B1
Taschenmesser,taschenmesser,B1
traumhaft,traumhaft,B1
übernachten,übernachten,B1
Übernachtung,übernachtung,B1
Umgebung,umgebung,B1
umgehend,umgehend,B1
verärgert,verärgert,B1
verreisen,verreisen,B1
verschieben,verschieben,B1
Wanderer,wanderer,B1
Wandertour,wandertour,B1
Waschraum,waschraum,B1
Wohnwagen,wohnwagen,B1
Zelt,zelt,B1
Zoll,zoll,B1
Zuschlag,zuschlag,B1
Abstellplatz,abstellplatz,B1
absprechen,absprechen,B1
akzeptieren,akzeptieren,B1
anstreichen,anstreichen,B1
Ärger,ärger,B1
ärgerlich,ärgerlich,B1
Aufregung,aufregung,B1
Ausnahme,ausnahme,B1
Balkongeländer,balkongeländer,B1
befestigen,befestigen,B1
behalten,behalten,B1
beleidigen,beleidigen,B1
Beleidigung,beleidigung,B1
berechtigt,berechtigt,B1
beschimpfen,beschimpfen,B1
Beschimpfung,beschimpfung,B1
beschweren,beschweren,B1
Blumentopf,blumentopf,B1
bohren,bohren,B1
deswegen,deswegen,B1
dumm,dumm,B1
eilig,eilig,B1
einhalten,einhalten,B1
einlegen,einlegen,B1
einstellen,einstellen,B1
enden,enden,B1
Entscheidung,entscheidung,B1
entspannend,entspannend,B1
entsprechen,entsprechen,B1
erhöhen,erhöhen,B1
erleichtern,erleichtern,B1
erwähnen,erwähnen,B1
eskalieren,eskalieren,B1
exotisch,exotisch,B1
fair,fair,B1
festkleben,festkleben,B1
Freude,freude,B1
Frist,frist,B1
fristgerecht,fristgerecht,B1
fristlos,fristlos,B1
Gemeinschaftsraum,gemeinschaftsraum,B1
gesetzlich,gesetzlich,B1
hämmern,hämmern,B1
heizen,heizen,B1
Instandhaltung,instandhaltung,B1
klug,klug,B1
Konflikt,konflikt,B1
Kündigung,kündigung,B1
lüften,lüften,B1
massiv,massiv,B1
meckern,meckern,B1
Meerschweinchen,meerschweinchen,B1
Mieterhöhung,mieterhöhung,B1
Mietspiegel,mietspiegel,B1
Mietvertrag,mietvertrag,B1
Modernisierung,modernisierung,B1
nachsehen,nachsehen,B1
neugierig,neugierig,B1
obwohl,obwohl,B1
offenbar,offenbar,B1
protestieren,protestieren,B1
Richter,richter,B1
Richterin,richterin,B1
Rücksicht,rücksicht,B1
sammeln,sammeln,B1
sauer,sauer,B1
Schaden,schaden,B1
schmutzig,schmutzig,B1
selbstverständlich,selbstverständlich,B1
sinnlos,sinnlos,B1
sinnvoll,sinnvoll,B1
sortieren,sortieren,B1
stinken,stinken,B1
streiten,streiten,B1
total,total,B1
treu,treu,B1
überlegen,überlegen,B1
üblich,üblich,B1
unglaublich,unglaublich,B1
Unrecht,unrecht,B1
Urteil,urteil,B1
vergleichbar,vergleichbar,B1
verpflichten,verpflichten,B1
Verständnis,verständnis,B1
Verstoß,verstoß,B1
verstoßen,verstoßen,B1
völlig,völlig,B1
vorher,vorher,B1
wegräumen,wegräumen,B1
Widerspruch,widerspruch,B1
wütend,wütend,B1
Zeitraum,zeitraum,B1
ziemlich,ziemlich,B1
Zimmerlautstärke,zimmerlautstärke,B1
zugeben,zugeben,B1
zurücklassen,zurücklassen,B1
Zusammenleben,zusammenleben,B1
zustimmen,zustimmen,B1
Zutritt,zutritt,B1
Abgas,abgas,B1
Abwasser,abwasser,B1
Altöl,altöl,B1
Altpapier,altpapier,B1
Aluminium,aluminium,B1
andauernd,andauernd,B1
ankündigen,ankündigen,B1
anstatt,anstatt,B1
Begleitperson,begleitperson,B1
belasten,belasten,B1
Belastung,belastung,B1
beobachten,beobachten,B1
Beutel,beutel,B1
biologisch,biologisch,B1
Chemikalie,chemikalie,B1
Deckel,deckel,B1
doof,doof,B1
Eierkarton,eierkarton,B1
Eierschale,eierschale,B1
einfallen,einfallen,B1
Elektroauto,elektroauto,B1
Energiesparhaus,energiesparhaus,B1
Energiesparlampe,energiesparlampe,B1
Erdbeben,erdbeben,B1
Erde,erde,B1
Erderwärmung,erderwärmung,B1
Erlaubnis,erlaubnis,B1
Förster,förster,B1
Försterin,försterin,B1
Gegenstand,gegenstand,B1
Gegenvorschlag,gegenvorschlag,B1
giftig,giftig,B1
Haushalt,haushalt,B1
Hochwasser,hochwasser,B1
Hörer,hörer,B1
Hörerin,hörerin,B1
Kaffeefilter,kaffeefilter,B1
Klima,klima,B1
Klimawandel,klimawandel,B1
Konservendose,konservendose,B1
Kunststoff,kunststoff,B1
Luft,luft,B1
Matratze,matratze,B1
Metall,metall,B1
Milchkarton,milchkarton,B1
Mülltonne,mülltonne,B1
Mülltrennung,mülltrennung,B1
Naturkatastrophe,naturkatastrophe,B1
Naturprodukt,naturprodukt,B1
Obstschale,obstschale,B1
Papiermüll,papiermüll,B1
Pappe,pappe,B1
Picknick,picknick,B1
Planet,planet,B1
Plastik,plastik,B1
recyceln,recyceln,B1
Sack,sack,B1
Sammelstelle,sammelstelle,B1
schädigen,schädigen,B1
schädlich,schädlich,B1
Schadstoff,schadstoff,B1
schützen,schützen,B1
Solarenergie,solarenergie,B1
Sondermüll,sondermüll,B1
Sonnenschein,sonnenschein,B1
Sorge,sorge,B1
sparsam,sparsam,B1
Sperrmüll,sperrmüll,B1
stattfinden,stattfinden,B1
Tierschutz,tierschutz,B1
Trinkwasser,trinkwasser,B1
trüb,trüb,B1
Tsunami,tsunami,B1
Turm,turm,B1
umdrehen,umdrehen,B1
umgehen,umgehen,B1
umweltfreundlich,umweltfreundlich,B1
Umweltschutz,umweltschutz,B1
Umweltverschmutzung,umweltverschmutzung,B1
Unwetter,unwetter,B1
verändern,verändern,B1
verlaufen,verlaufen,B1
verschmutzen,verschmutzen,B1
verschwenden,verschwenden,B1
Verschwendung,verschwendung,B1
versprechen,versprechen,B1
verwerten,verwerten,B1
voraussichtlich,voraussichtlich,B1
vorhersagen,vorhersagen,B1
wahrscheinlich,wahrscheinlich,B1
wegschmeißen,wegschmeißen,B1
wegwerfen,wegwerfen,B1
Wertstoff,wertstoff,B1
Wind,wind,B1
Windel,windel,B1
Wirbelsturm,wirbelsturm,B1
Wolke,wolke,B1
zerstören,zerstören,B1
Zerstörung,zerstörung,B1
Zigarettenkippe,zigarettenkippe,B1
anfassen,anfassen,B1
Anprobe,anprobe,B1
anprobieren,anprobieren,B1
Art,art,B1
Artikelnummer,artikelnummer,B1
Atmung,atmung,B1
atmungsaktiv,atmungsaktiv,B1
aufmerksam,aufmerksam,B1
Auftrag,auftrag,B1
Auftragsnummer,auftragsnummer,B1
ausliefern,ausliefern,B1
Auswahl,auswahl,B1
Bankeinzug,bankeinzug,B1
bereits,bereits,B1
beschädigt,beschädigt,B1
Bestellhotline,bestellhotline,B1
Betrag,betrag,B1
Bezahlvorgang,bezahlvorgang,B1
Callcenter,callcenter,B1
Datenschutz,datenschutz,B1
dicht,dicht,B1
durchlässig,durchlässig,B1
ebenso,ebenso,B1
eher,eher,B1
Eigentum,eigentum,B1
Ergänzung,ergänzung,B1
erhältlich,erhältlich,B1
eventuell,eventuell,B1
falls,falls,B1
Gutschein,gutschein,B1
herstellen,herstellen,B1
Herstellung,herstellung,B1
Impressum,impressum,B1
innerhalb,innerhalb,B1
irgendwie,irgendwie,B1
Kauf,kauf,B1
Kaufbestätigung,kaufbestätigung,B1
